[QTableReport] Node 97 Q-Table Size: 218
[QTableReport] Q-Table contains entries:
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.08; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=8; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.08; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=18; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=18; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=18; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=18; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=18; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=18; tie=0.04; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.94; pop=27; tie=0.17; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.94; pop=27; tie=0.17; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.94; pop=27; tie=0.17; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.94; pop=27; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.94; pop=27; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.94; pop=27; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=10; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=10; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=10; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=8; tie=0.02; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.17; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.17; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=21; tie=0.07; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=21; tie=0.07; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=21; tie=0.07; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.02; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.02; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.02; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=26; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=13; tie=0.07; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=13; tie=0.07; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=13; tie=0.07; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=9; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=9; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=9; tie=0.04; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=25; tie=0.02; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=25; tie=0.02; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=25; tie=0.02; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.04; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=17; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=9; tie=0.08; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=9; tie=0.08; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=9; tie=0.08; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.46; pop=25; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.46; pop=25; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.46; pop=25; tie=0.01; den=0.0] | Action: DROP = 0.0
